DateTime,F100_PV,F100_SP,F102_PV,F102_SP,P101_PV,P105_PV,P200_PV,T201_PV,T210_PV,T211_PV,T212_PV,T213_PV,T214_PV,T215_PV,T216_PV,T217_PV,T218_PV,T219_PV,T220_PV,T221_PV,T222_PV,T223_PV,T224_PV,T225_PV,T226_PV,T301_PV,T400_ActSpValue,T400_Out,T400_PV,T400_TargetSp,wwResolution
2025-10-08 11:34:58.985,"35,0","0,0","0,0","0,0","0,6","0,0","0,0","20,4","19,8","20,4","20,4","20,1","20,1","19,5","19,8","19,5","18,9","19,2","18,9","19,2","19,8","19,2","19,2","18,6","18,9","19,3","19,9","3,0","19,3","20,0",31515
2025-10-08 11:35:30.500,"35,0","0,0","0,0","0,0","0,5","0,0","0,0","20,4","19,8","20,4","20,4","20,1","20,1","19,5","19,8","-162,2","18,9","19,2","18,9","19,2","19,8","19,2","19,2","-142,6","18,9","19,3","19,9","3,0","19,3","20,0",31515
2025-10-08 11:36:02.015,"35,0","0,0","0,0","0,0","0,5","0,0","0,0","20,4","19,8","20,4","20,4","20,1","20,1","19,5","19,8","-162,2","-160,4","19,2","18,9","19,2","19,8","-147,5","19,2","-142,6","-139,1","19,3","19,9","3,0","19,3","20,0",31515
2025-10-08 11:36:33.530,"35,0","0,0","0,0","0,0","0,5","0,0","0,0","20,4","19,8","20,4","20,4","20,1","20,1","19,5","19,8","-162,2","-160,4","-157,4","18,9","19,2","19,8","-147,5","-145,0","-143,2","-139,1","19,3","19,9","5,5","19,3","20,0",31515
2025-10-08 11:37:05.045,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","-194,4","19,8","20,4","-171,7","20,1","20,1","19,5","19,8","-162,2","-160,4","-157,4","18,9","-153,1","-149,7","-147,5","-145,0","-143,2","-139,7","-128,6","19,9","3,0","19,3","20,0",31515
2025-10-08 11:37:36.560,"10,0","10,0","0,0","0,0","0,2","0,2","0,0","-164,6","19,8","20,4","-171,7","20,1","20,1","19,5","19,8","-162,2","-160,4","-157,4","18,9","-153,1","-149,7","-147,5","-145,0","-143,2","-139,7","-82,6","19,9","3,0","19,3","20,0",31515
2025-10-08 11:38:08.075,"10,0","10,0","10,0","10,0","0,3","0,3","0,1","-84,0","-112,6","-166,9","-171,1","20,1","20,1","19,5","19,8","-162,2","-159,8","-157,4","18,9","-153,1","-149,1","-147,5","-145,0","-143,2","-139,1","-55,1","19,9","8,0","18,2","20,0",31515
2025-10-08 11:38:39.590,"10,0","10,0","10,0","10,0","0,5","0,4","0,0","-61,6","-89,1","-94,3","-103,0","-144,3","-165,8","19,5","19,8","-162,2","-159,8","-156,8","18,9","-152,5","-149,1","-147,5","-145,0","-143,2","-139,1","-37,8","19,9","5,5","18,2","20,0",31515
2025-10-08 11:39:11.105,"10,0","10,0","10,0","10,0","0,4","0,4","0,0","-56,9","-88,5","-87,6","-87,9","-93,3","-103,6","-110,8","-142,3","-161,0","-159,2","-156,8","18,9","-152,5","-149,1","-146,9","-145,0","-142,6","-138,5","-24,8","19,9","8,0","18,2","20,0",31515
2025-10-08 11:39:42.620,"10,0","10,0","10,0","10,0","0,5","0,5","0,1","-54,1","-87,9","-87,6","-86,7","-88,5","-89,5","-90,7","-93,6","-108,3","-113,1","-136,1","-152,8","-151,9","-148,5","-146,9","-144,4","-142,6","-138,5","-14,9","19,9","5,5","18,2","20,0",31515
2025-10-08 11:40:14.135,"10,0","10,0","10,0","10,0","0,4","0,4","0,0","-51,1","-87,9","-87,0","-86,7","-87,9","-87,0","-87,7","-88,3","-91,9","-92,6","-97,5","-106,3","-114,9","-127,0","-127,6","-143,8","-142,0","-138,5","-8,9","19,9","5,5","18,2","20,0",31515
2025-10-08 11:40:45.650,"10,0","10,0","10,0","10,0","0,4","0,4","0,0","-46,6","-87,9","-87,0","-86,7","-87,3","-87,0","-87,1","-87,1","-88,2","-88,6","-89,1","-92,1","-94,7","-97,9","-94,1","-108,5","-112,2","-117,3","-4,4","19,9","8,0","19,3","20,0",31515
2025-10-08 11:41:17.165,"10,0","10,0","10,0","10,0","0,5","0,5","0,0","-43,6","-87,9","-87,0","-86,7","-87,3","-86,4","-87,1","-87,1","-87,6","-88,0","-87,9","-88,3","-89,5","-89,3","-88,6","-92,6","-93,8","-94,5","-2,2","19,9","5,5","19,3","20,0",31515
2025-10-08 11:41:48.680,"10,0","10,0","10,0","10,0","0,4","0,4","0,0","-40,3","-86,7","-87,0","-86,7","-87,3","-86,4","-87,1","-87,1","-87,6","-87,4","-87,3","-87,6","-87,7","-87,4","-87,4","-88,3","-89,2","-89,0","-1,1","19,9","3,0","19,3","20,0",31515
