DateTime,F100_PV,F100_SP,F102_PV,F102_SP,P101_PV,P105_PV,P200_PV,T201_PV,T210_PV,T211_PV,T212_PV,T213_PV,T214_PV,T215_PV,T216_PV,T217_PV,T218_PV,T219_PV,T220_PV,T221_PV,T222_PV,T223_PV,T224_PV,T225_PV,T226_PV,T301_PV,T400_ActSpValue,T400_Out,T400_PV,T400_TargetSp,wwResolution
2025-10-06 14:45:32.306,"17,5","17,5","2,5","2,5","0,6","0,6","0,1","9,6","7,8","6,4","5,1","2,8","0,9","-2,2","-4,8","-10,2","-15,1","-22,3","-31,3","-44,3","-63,5","-86,2","-99,0","-101,2","-100,5","10,8","20,0","3,5","19,3","20,0",72727
2025-10-06 14:46:45.033,"17,5","17,5","2,5","2,5","0,3","0,3","0,0","10,1","8,4","7,6","6,3","4,0","2,7","-0,4","-3,0","-7,2","-11,5","-17,4","-25,2","-34,3","-47,8","-63,8","-88,6","-100,0","-100,5","10,8","20,0","3,5","19,3","20,0",72727
2025-10-06 14:47:57.760,"17,5","17,5","2,5","2,5","0,3","0,3","0,0","10,9","9,0","8,7","7,5","5,2","3,9","1,2","-0,7","-4,8","-8,4","-13,3","-20,1","-27,6","-36,4","-48,8","-69,4","-89,9","-99,9","10,8","20,0","3,5","19,3","20,0",72727
2025-10-06 14:49:10.487,"17,5","17,5","2,5","2,5","0,5","0,5","0,1","11,6","9,6","9,3","8,1","6,4","5,1","3,0","1,0","-3,0","-6,0","-10,2","-15,3","-22,2","-29,2","-37,8","-54,1","-71,1","-86,6","11,9","20,0","3,5","19,3","20,0",72727
2025-10-06 14:50:23.214,"17,5","17,5","2,5","2,5","0,5","0,5","0,1","12,1","10,2","9,9","9,3","7,6","6,3","4,2","2,2","-0,7","-3,6","-7,2","-11,7","-17,4","-23,7","-30,7","-42,5","-55,6","-69,3","11,9","20,0","3,5","19,3","20,0",72727
2025-10-06 14:51:35.941,"17,5","17,5","2,5","2,5","0,4","0,3","0,0","12,6","10,8","10,5","9,9","8,1","7,5","5,4","4,0","0,4","-1,9","-4,8","-8,7","-13,3","-18,8","-25,2","-33,8","-44,4","-55,9","11,9","20,0","1,5","19,3","20,0",72727
2025-10-06 14:52:48.668,"17,5","17,5","2,5","2,5","0,4","0,3","0,0","12,9","11,4","11,1","10,5","9,3","8,1","6,6","5,2","2,2","-0,1","-2,4","-5,8","-10,2","-14,6","-20,3","-28,2","-35,7","-45,4","11,9","20,0","3,5","19,3","20,0",72727
2025-10-06 14:54:01.395,"17,5","17,5","2,5","2,5","0,4","0,3","0,0","13,4","12,0","11,7","11,1","9,9","9,3","7,2","5,8","3,4","1,6","-0,7","-4,0","-7,2","-11,0","-16,1","-23,3","-30,1","-37,8","13,0","20,0","3,5","19,3","20,0",72727
2025-10-06 14:55:14.122,"17,5","17,5","2,5","2,5","0,4","0,3","0,0","13,6","12,6","12,3","11,7","10,5","9,9","8,4","7,0","4,6","2,8","1,0","-1,6","-4,8","-8,0","-12,5","-18,5","-25,2","-31,4","13,0","20,0","3,5","19,3","20,0",72727
2025-10-06 14:56:26.849,"17,5","17,5","2,5","2,5","0,4","0,3","0,1","14,1","12,6","12,3","12,3","11,1","10,5","9,0","8,1","5,8","4,0","2,2","-0,4","-3,0","-5,6","-9,5","-14,3","-20,4","-26,4","13,0","20,0","3,5","19,3","20,0",72727
2025-10-06 14:57:39.576,"17,5","17,5","2,5","2,5","0,4","0,3","0,0","14,4","13,2","12,9","12,3","11,1","11,1","9,6","8,7","6,4","5,2","3,4","1,2","-1,3","-3,2","-6,5","-10,7","-16,2","-21,6","14,1","20,0","3,5","19,3","20,0",72727
2025-10-06 14:58:52.303,"17,5","17,5","2,5","2,5","0,5","0,5","0,1","14,6","13,2","12,9","12,9","11,7","11,7","10,2","9,3","7,6","5,8","4,6","2,4","0,4","-1,4","-4,1","-8,3","-12,7","-17,4","14,1","20,0","3,5","19,3","20,0",72727
2025-10-06 15:00:05.030,"17,5","17,5","2,5","2,5","0,3","0,3","0,0","14,9","13,8","13,5","13,5","12,3","12,3","10,8","9,9","8,1","7,0","5,8","3,6","1,6","0,3","-2,3","-5,3","-9,6","-13,9","14,1","20,0","3,5","19,3","20,0",72727
2025-10-06 15:01:17.757,"17,5","17,5","2,5","2,5","0,4","0,4","0,0","15,1","13,8","14,1","13,5","12,9","12,3","11,4","10,5","9,3","7,6","6,4","4,8","3,4","1,5","-0,5","-3,5","-6,6","-10,8","14,1","20,0","3,5","19,3","20,0",72727
2025-10-06 15:02:30.484,"17,5","17,5","2,5","2,5","0,4","0,4","0,0","15,1","13,8","14,1","14,1","12,9","12,9","12,0","11,1","9,9","8,7","7,6","6,0","4,0","3,3","1,2","-1,7","-4,8","-7,8","14,1","20,0","3,5","19,3","20,0",72727
2025-10-06 15:03:43.211,"17,5","17,5","2,5","2,5","0,5","0,4","0,1","15,4","14,4","14,1","14,1","13,5","13,5","12,6","11,7","10,5","9,3","8,1","6,6","5,2","4,5","2,4","0,1","-2,4","-5,4","14,1","20,0","3,5","19,3","20,0",72727
2025-10-06 15:04:55.938,"17,5","17,5","2,5","2,5","0,4","0,4","0,0","15,6","14,4","14,7","14,7","13,5","13,5","12,6","12,3","10,5","9,9","9,3","7,8","6,4","5,7","3,6","1,8","-0,7","-3,0","14,1","20,0","3,5","19,3","20,0",72727
2025-10-06 15:06:08.665,"35,0","35,0","2,5","2,5","1,0","0,2","0,0","10,9","13,8","14,7","14,7","14,1","14,1","13,2","12,9","11,1","10,5","9,9","8,4","7,6","6,9","5,4","3,0","1,0","-0,7","15,2","20,0","3,5","19,3","20,0",72727
2025-10-06 15:07:21.392,"35,0","35,0","2,5","2,5","1,0","0,2","0,1","11,4","12,6","14,1","14,7","14,1","14,7","13,8","13,5","12,3","11,7","11,1","9,6","8,7","8,1","6,6","5,4","3,4","1,6","16,2","20,0","3,5","19,3","20,0",72727
2025-10-06 15:08:34.119,"35,0","35,0","2,5","2,5","1,1","0,3","0,2","12,4","12,6","12,9","14,1","14,1","14,7","14,4","14,1","12,9","12,3","11,7","10,8","9,9","9,3","8,4","6,6","5,2","3,4","16,2","20,0","3,5","19,3","20,0",72727
2025-10-06 15:09:46.846,"35,0","35,0","2,5","2,5","0,9","0,1","0,1","13,1","12,6","12,9","13,5","13,5","14,7","14,4","14,1","13,5","12,9","12,3","11,4","11,1","10,5","9,6","8,4","6,4","5,8","16,2","20,0","3,5","19,3","20,0",72727
2025-10-06 15:10:59.573,"35,0","35,0","2,5","2,5","1,0","0,1","0,0","13,6","12,6","12,9","13,5","12,9","14,1","13,8","14,1","13,5","12,9","12,9","12,6","11,7","11,7","10,8","9,6","8,1","7,0","17,3","20,0","3,5","19,3","20,0",72727
2025-10-06 15:12:12.300,"35,0","35,0","2,5","2,5","0,9","0,1","0,0","13,9","12,6","12,9","13,5","12,9","14,1","13,8","14,1","13,5","13,5","13,5","12,6","12,3","12,3","11,4","10,8","9,3","8,1","17,3","20,0","3,5","19,3","20,0",72727
2025-10-06 15:13:25.027,"35,0","35,0","2,5","2,5","0,5","0,1","0,0","-71,8","7,9","12,9","13,5","12,9","14,1","13,8","14,1","13,5","13,5","13,5","13,2","12,9","12,9","12,0","11,4","9,9","9,3","-173,5","20,0","3,5","19,3","20,0",72727
2025-10-06 15:14:37.754,"35,0","35,0","2,5","2,5","0,7","0,4","0,4","-148,8","-21,8","2,1","11,7","12,9","14,1","13,2","13,5","13,5","13,5","13,5","13,2","12,9","13,5","12,6","12,0","11,1","10,5","-173,5","20,0","3,5","19,3","20,0",72727
2025-10-06 15:15:50.481,"35,1","35,0","2,5","2,5","1,1","0,8","0,8","-192,4","-25,6","-1,6","9,9","12,9","14,1","13,2","13,5","13,5","13,5","13,5","13,2","12,9","13,5","12,6","12,0","11,1","10,5","-173,5","20,0","3,5","19,3","20,0",72727
2025-10-06 15:17:03.208,"0,0","0,0","0,0","0,0","0,4","0,0","0,1","-179,0","-23,8","-2,2","9,3","12,3","14,1","13,2","13,5","13,5","13,5","13,5","13,2","12,9","13,5","12,6","12,0","11,1","10,5","-173,5","20,0","3,5","19,3","20,0",72727
