DateTime,F100_PV,F100_SP,F102_PV,F102_SP,P101_PV,P105_PV,P200_PV,T201_PV,T210_PV,T211_PV,T212_PV,T213_PV,T214_PV,T215_PV,T216_PV,T217_PV,T218_PV,T219_PV,T220_PV,T221_PV,T222_PV,T223_PV,T224_PV,T225_PV,T226_PV,T301_PV,T400_ActSpValue,T400_Out,T400_PV,T400_TargetSp,wwResolution
2025-10-06 13:32:13.297,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","20,3","19,4","19,5","19,7","19,7","19,8","19,7","19,4","19,2","18,7","19,0","19,2","19,3","19,8","19,2","19,3","18,6","18,6","19,5","20,0","3,5","19,3","20,0",54545
2025-10-06 13:33:07.842,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","20,3","19,4","19,5","19,7","19,7","19,8","19,7","19,4","19,2","18,7","19,0","19,2","19,3","19,8","19,2","19,3","18,6","18,6","19,5","20,0","3,5","19,3","20,0",54545
2025-10-06 13:34:02.387,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","20,3","19,4","19,5","19,7","19,7","19,8","19,7","19,4","19,2","18,7","19,0","19,2","19,3","19,8","19,2","19,3","18,6","18,6","19,5","20,0","3,5","19,3","20,0",54545
2025-10-06 13:34:56.932,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","20,3","19,4","19,5","19,7","19,7","19,8","19,7","19,4","19,2","18,7","19,0","19,2","19,3","19,8","19,2","19,3","18,6","18,6","19,5","20,0","3,5","19,3","20,0",54545
2025-10-06 13:35:51.477,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","20,3","19,4","19,5","19,7","19,7","19,8","19,7","19,4","19,2","18,7","19,0","19,2","19,3","19,8","19,2","19,3","18,6","18,6","19,5","20,0","3,5","19,3","20,0",54545
2025-10-06 13:36:46.022,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","20,3","19,4","19,5","19,7","19,7","19,8","19,7","19,4","19,2","18,7","19,0","19,2","19,3","19,8","19,2","19,3","18,6","18,6","19,5","20,0","3,5","19,3","20,0",54545
2025-10-06 13:37:40.567,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","20,3","19,4","19,5","19,7","19,7","19,8","19,7","19,4","19,2","18,7","19,0","19,2","19,3","19,8","19,2","19,3","18,6","18,6","19,5","20,0","3,5","19,3","20,0",54545
2025-10-06 13:38:35.112,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","20,3","19,4","19,5","19,7","19,7","19,8","19,7","19,4","19,2","18,7","19,0","19,2","19,3","19,8","19,2","19,3","18,6","18,6","19,5","20,0","3,5","19,3","20,0",54545
2025-10-06 13:39:29.657,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","20,3","19,4","19,5","19,7","19,7","19,8","19,7","19,4","19,2","18,7","19,0","19,2","19,3","19,8","19,2","19,3","18,6","18,6","19,5","20,0","3,5","19,3","20,0",54545
2025-10-06 13:40:24.202,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","20,3","19,4","19,5","19,7","19,7","19,8","19,7","19,4","19,2","18,7","19,0","19,2","19,3","19,8","19,2","19,3","18,6","18,6","19,5","20,0","3,5","19,3","20,0",54545
2025-10-06 13:41:18.747,"35,0","35,0","0,0","0,0","1,0","0,0","0,1","18,9","19,4","19,5","19,7","19,7","19,8","19,7","19,4","19,2","18,7","19,0","19,2","19,3","19,8","19,2","19,3","18,6","18,6","19,5","20,0","3,5","19,3","20,0",54545
2025-10-06 13:42:13.292,"35,0","35,0","0,0","0,0","1,1","0,1","0,1","18,9","19,4","19,5","19,7","19,1","19,8","19,7","19,4","19,2","18,7","19,0","19,2","19,3","19,8","19,2","19,3","18,6","18,6","19,5","20,0","3,5","19,3","20,0",54545
2025-10-06 13:43:07.837,"35,0","35,0","0,0","0,0","0,5","0,0","0,0","7,5","18,8","19,5","19,7","19,1","19,8","19,7","19,4","19,2","18,7","19,0","19,2","19,3","19,8","19,2","19,3","18,6","18,6","-173,7","20,0","3,5","19,3","20,0",54545
2025-10-06 13:44:02.382,"35,0","35,0","0,0","0,0","0,6","0,1","0,0","-130,6","-0,3","16,2","19,1","19,1","19,8","19,7","19,4","19,2","18,7","19,0","19,2","19,3","19,8","19,2","19,3","18,6","18,6","-173,7","20,0","3,5","19,3","20,0",54545
2025-10-06 13:44:56.927,"35,0","35,0","0,0","0,0","0,6","0,1","0,1","-183,8","-51,6","-9,5","11,7","18,5","19,8","19,7","19,4","19,2","18,7","19,0","19,2","19,3","19,8","19,2","19,3","18,6","18,6","-173,7","20,0","3,5","19,3","20,0",54545
2025-10-06 13:45:51.472,"35,0","35,0","0,0","0,0","0,5","0,0","0,0","-189,7","-94,3","-51,7","-13,0","10,8","18,0","19,1","19,4","19,2","18,7","19,0","19,2","19,3","19,8","19,2","19,3","18,6","18,6","-173,7","20,0","3,5","19,3","20,0",54545
